pair_ID Entailment_Judgement Relatedness_score
6 NEUTRAL 2.44
7 ENTAILMENT 2.72
8 NEUTRAL 2.43
10 ENTAILMENT 4.39
11 ENTAILMENT 4.02
13 CONTRADICTION 2.36
15 NEUTRAL 2.44
16 NEUTRAL 2.64
17 NEUTRAL 2.64
19 ENTAILMENT 4.26
20 CONTRADICTION 3.54
21 ENTAILMENT 4.34
22 ENTAILMENT 4.3
23 CONTRADICTION 4.19
27 NEUTRAL 2.51
29 NEUTRAL 2.92
31 NEUTRAL 3.37
32 ENTAILMENT 4.07
33 NEUTRAL 3.7
34 NEUTRAL 3.7
36 NEUTRAL 2.15
37 NEUTRAL 3.23
38 CONTRADICTION 3.09
39 ENTAILMENT 2.98
41 ENTAILMENT 4.44
43 NEUTRAL 4.44
46 NEUTRAL 2.97
48 NEUTRAL 2.44
50 NEUTRAL 2.81
51 NEUTRAL 2.81
52 ENTAILMENT 4.44
53 NEUTRAL 3.94
54 NEUTRAL 4.44
57 NEUTRAL 3.27
59 ENTAILMENT 3.31
60 ENTAILMENT 3.19
61 ENTAILMENT 3.08
63 NEUTRAL 4.01
64 CONTRADICTION 3.61
66 NEUTRAL 3.24
67 CONTRADICTION 3.96
68 NEUTRAL 2.79
69 CONTRADICTION 4.2
71 NEUTRAL 3.37
74 ENTAILMENT 4.44
75 ENTAILMENT 4.39
76 ENTAILMENT 3.14
80 NEUTRAL 2.16
86 NEUTRAL 3.3
89 ENTAILMENT 3.71
92 NEUTRAL 3.33
95 NEUTRAL 2.75
96 NEUTRAL 1.84
101 ENTAILMENT 3.92
102 ENTAILMENT 3.48
103 NEUTRAL 3.47
104 NEUTRAL 3.6
106 NEUTRAL 3.24
108 ENTAILMENT 3.6
109 NEUTRAL 2.98
110 NEUTRAL 3.44
111 NEUTRAL 3.56
114 NEUTRAL 2.03
115 NEUTRAL 2.55
118 ENTAILMENT 4.44
121 ENTAILMENT 4.4
123 NEUTRAL 3.36
125 ENTAILMENT 2.8
128 NEUTRAL 3.33
132 CONTRADICTION 3.57
134 NEUTRAL 3.51
135 NEUTRAL 2.99
137 NEUTRAL 3.41
138 NEUTRAL 2.87
142 NEUTRAL 4.38
143 CONTRADICTION 4.11
144 NEUTRAL 2.98
145 CONTRADICTION 2.47
147 CONTRADICTION 2.69
149 NEUTRAL 4.07
151 ENTAILMENT 4.44
152 CONTRADICTION 3.19
153 NEUTRAL 4.44
154 CONTRADICTION 2.92
155 NEUTRAL 4.07
156 CONTRADICTION 4.44
157 ENTAILMENT 4.44
158 NEUTRAL 4.44
160 ENTAILMENT 3.87
162 NEUTRAL 3.32
165 NEUTRAL 3.63
166 NEUTRAL 3.18
167 ENTAILMENT 4.02
168 ENTAILMENT 3.6
169 ENTAILMENT 4.44
171 NEUTRAL 4.44
172 NEUTRAL 3.28
174 NEUTRAL 3.28
175 NEUTRAL 3.52
177 NEUTRAL 3.28
178 NEUTRAL 4.44
179 NEUTRAL 4.44
180 NEUTRAL 4.44
181 ENTAILMENT 3.51
182 NEUTRAL 4.44
187 NEUTRAL 3.82
189 NEUTRAL 4.3
190 NEUTRAL 4.3
191 NEUTRAL 4.06
193 NEUTRAL 4.28
195 ENTAILMENT 4.44
196 NEUTRAL 4.16
198 NEUTRAL 3.53
199 NEUTRAL 4.26
203 NEUTRAL 3.4
204 NEUTRAL 2.92
206 NEUTRAL 3.41
207 NEUTRAL 3.57
208 NEUTRAL 3.41
209 ENTAILMENT 3.53
210 NEUTRAL 3.58
212 ENTAILMENT 3.6
213 NEUTRAL 2.87
214 NEUTRAL 2.86
220 NEUTRAL 4.16
221 NEUTRAL 4.23
222 ENTAILMENT 3.68
229 ENTAILMENT 4.44
230 CONTRADICTION 3.12
231 ENTAILMENT 4.44
235 NEUTRAL 2.26
239 ENTAILMENT 3.24
242 NEUTRAL 4.44
243 ENTAILMENT 4.35
244 CONTRADICTION 3.61
245 ENTAILMENT 4.44
246 NEUTRAL 4.37
247 NEUTRAL 3.32
250 NEUTRAL 4.44
251 ENTAILMENT 4.0
252 ENTAILMENT 4.0
255 NEUTRAL 4.44
261 NEUTRAL 2.82
262 NEUTRAL 4.01
263 NEUTRAL 3.91
264 ENTAILMENT 4.44
267 NEUTRAL 3.32
268 NEUTRAL 3.32
270 NEUTRAL 2.95
271 NEUTRAL 3.32
274 ENTAILMENT 4.31
275 NEUTRAL 3.5
278 NEUTRAL 2.82
281 NEUTRAL 2.82
282 ENTAILMENT 4.44
284 ENTAILMENT 2.79
288 NEUTRAL 3.39
290 NEUTRAL 3.39
292 NEUTRAL 2.74
294 NEUTRAL 3.69
295 NEUTRAL 3.35
297 ENTAILMENT 2.53
298 NEUTRAL 2.72
299 NEUTRAL 2.6
300 NEUTRAL 4.19
306 NEUTRAL 3.75
307 NEUTRAL 3.75
308 CONTRADICTION 2.23
314 ENTAILMENT 3.47
316 NEUTRAL 3.05
318 NEUTRAL 2.19
319 NEUTRAL 3.46
320 NEUTRAL 3.05
321 NEUTRAL 3.05
322 NEUTRAL 4.44
324 ENTAILMENT 3.71
325 CONTRADICTION 3.21
326 NEUTRAL 2.91
328 NEUTRAL 2.64
330 NEUTRAL 2.64
334 NEUTRAL 3.94
336 NEUTRAL 2.66
337 NEUTRAL 2.07
343 NEUTRAL 4.15
345 ENTAILMENT 2.96
348 CONTRADICTION 2.97
349 NEUTRAL 3.19
350 NEUTRAL 3.38
352 CONTRADICTION 3.59
353 NEUTRAL 4.39
355 CONTRADICTION 3.59
356 NEUTRAL 3.08
357 NEUTRAL 2.63
359 NEUTRAL 2.69
364 NEUTRAL 3.83
365 NEUTRAL 4.44
368 NEUTRAL 3.58
369 CONTRADICTION 3.0
371 NEUTRAL 3.94
376 ENTAILMENT 2.74
383 NEUTRAL 3.88
385 NEUTRAL 4.38
386 NEUTRAL 3.72
388 NEUTRAL 3.6
389 NEUTRAL 3.47
399 CONTRADICTION 2.9
400 NEUTRAL 3.56
401 NEUTRAL 3.56
405 ENTAILMENT 3.44
406 ENTAILMENT 2.11
407 NEUTRAL 3.09
408 ENTAILMENT 2.67
411 NEUTRAL 4.44
412 NEUTRAL 2.72
414 NEUTRAL 3.09
416 NEUTRAL 2.72
418 NEUTRAL 3.45
419 NEUTRAL 3.45
420 NEUTRAL 3.82
421 NEUTRAL 3.45
424 NEUTRAL 3.79
425 CONTRADICTION 3.38
426 NEUTRAL 4.37
429 NEUTRAL 4.44
430 NEUTRAL 3.56
431 CONTRADICTION 3.61
432 NEUTRAL 3.56
433 NEUTRAL 4.44
437 NEUTRAL 3.28
443 ENTAILMENT 3.59
